title,text,category, subcategory
"2022 Corporate Educational and Non-Broadcast Contract Ebook","Informational / Guide PDF","Corporate / Educational", " "
"12/21/22 Extension to the COVID-19 Co/Ed & Non-Broadcast Contract Production Safety & Testing Protocol Agreement","","Corporate / Educational", " 
"COVID-19 Production Safety and Testing Protocol Agreement for Corporate-Educational and Non-Broadcast Contracts","Informational / Guide PDF","Corporate / Educational", " "
"2022 Corporate-Educational & Non-Broadcast Print Campaign Waiver","This waiver allows a producer on a print campaign to compensate only profession performers for b-roll/behind-the-scenes footage. Informational / Guide PDF","Corporate / Educational", " "
"Corporate/Educational & Non-Broadcast Auto/Trade Show Waiver","Informational / Guide PDF","Corporate / Educational", " "
"2022 Atlanta Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 Arizona-Utah Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 Chicago Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 Hawaii Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 Michigan Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 New England Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 Pacific-Northwest Regional Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 Philadelphia Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 San Francisco-Northern California Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 Texas Regional Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " " 
"2022 Twin Cities Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 Washington-Mid Atlantic Local Corporate-Educational Code","Informational / Guide PDF","Corporate / Educational", " "
"2022 Commercials Contract Memorandum of Agreement","Effective 4/1/2022 - 3/31/2025. Informational / Guide PDF","Commercials", " "
"2023 Low Budget Digital Waiver (LBDW)","","Commercials", " "
"2024 Low Budget Digital Waiver (LBDW)","","Commercials", " "
"2022 National Cable Waiver","Informational / Guide PDF","Commercials", " "
"2022 Political Commercial Waiver","","Commercials", " "
"2020 SAG-AFTRA/JPC Commercials Low Budget Digital Waiver","Informational / Guide PDF","Commercials", " "
"Diginet Waiver","This waiver allows for an additional payment option for the use of diginets under the 2019 Commercials Contract. Effective 1/1/2021 - 12/31/2021* *currently extended. Informational / Guide PDF","Commercials", " "
"2016 Commercials Contract E-Book","2016 SAG-AFTRA Commercials Contract in electronic format for Internet. Informational / Guide PDF","Commercials", " "
"2022 Influencer-Produced Sponsored Content Waiver","Effective 2021 ongoing. Informational / Guide PDF","Commercials", " "
"2022 Infomercial Agreement","Effective 4/1/2022 - 3/31/2025. Informational / Guide PDF","Commercials", " "
"2022 SAG-AFTRA Jingle Agreement","Effective 4/1/2019 - 3/31/2025. Fillable Document","Commercials", " "
"2019 Commercials Contract Memorandum of Agreement","Effective 4/1/2019 - 3/31/2022","Commercials", " "
"2019 Infomercial Agreement","Effective 4/1/2019 - 3/31/2022","Commercials", " "
"JPC & SAG-AFTRA Covid Modifications","Effective 12/5/2022","Commercials", " "
"Termination of the COVID-19 Commercial Production Safety and Testing Protocol Agreement","Effective 5/11/2023","Commercials", " "
"Extension to the COVID-19 Commercial Production Safety and Testing Protocol Agreement","Effective 12/21/2022","Commercials", " "
"Amended COVID‐19 Commercial Production Safety and Testing Protocols","Effective 9/1/2022","Commercials", " "
